2.71K 1:7 12ms futex
516.00 2.78ms 2.70us sched_yield
468.00 2.02ms 2.15us recvfrom
195.00 3.35ms 8.60us io_submit
188.00 369ms 984us fsync
173.00 20.52s 59ms io_getevents
165.00 20ms 62us sendto
149.00 3.74ms 12us pwrite
138.00 238ms 862us ppoll
36.00 1.02ms 1l4us write
36.00 48ms 673us fdatasync
28.00 16us 296ns getpid
28.00 53us 948ns setsockopt
21.50 Ons Ons sysdigevent
14.00 15us 557ns getpeername
14.00 5.59s 199ms poll
14.00 97us 3.49us accept
14.00 20us 735ns gettid
14.00 17us 636ns close
14.00 632us 22us shutdown
9.00  2.60s  1llms nanosleep
3.00 19us 3.23us <unknown>
3.00 28us 4.69us mmap
3.00 35us 5.88us munmap
2.00 2.00s 500ms epoll_wait
2.00 5.74us 1.43us sched_getaffinity
2.00 26us 6.56us getrusage
