2.93K 59.53s 9.91ms futex
559.00 1.46ms 1.31us recvfrom
191.00 8.16ms 2lus sendto
177.00 266ms 752us ppoll
138.00 5.60ms 20us pwrite
117.00 946us 4.04us sched_yield
109.00 161ms 741us fsync
64.00 20.08s 156ms io_getevents
48.00 71lms 740us fdatasync
48.00 1.33ms 13us write
39.00 679us 8.71us io_submit
28.00 16us 287ns getpid
28.00 50us 907ns setsockopt
21.50 Ons Ons sysdigevent
14.00 19us 699ns gettid
14.00 14us 535ns close
14.00 15us 538ns getpeername
14.00 149us 5.34us accept
14.00 4.05s 144ms poll
14.00 304us 10us shutdown
9.00  2.60s  1llms nanosleep
3.00 18us 3.00us <unknown>
3.00 25us 4.28us mmap
3.00 42us 7.12us munmap
2.00 3.80us 951ns sched_getaffinity
2.00 21lus 5.29us getrusage
2.00 2.00s 500ms epoll_wait
